"data_id" "activity_type" "subject_id" "direction" "mean of means of acceleration on body over time" "mean of means of gravitational acceleration signal over time" "mean of means of jerk on body over time" "mean of means of gyroscopic acceleration on body over time" "mean of means of gyroscopic jerk on body over time" "mean of standard deviations of acceleration on body over time" "mean of standard deviations of gravitational acceleration signal over time" "mean of standard deviations of jerk on body over time" "mean of standard deviations of gyroscopic acceleration on body over time" "mean of standard deviations of gyroscopic jerk on body over time" "mean of means of body acceleration frequency signal" "mean of means of jerk frequency signals" "mean of means of gyroscopic frequency signal of body" "mean of standard deviations of acceleration frequency signal" "mean of standard deviations of jerk frequency signal" "mean of standard deviations of gyroscopic frequency signal of body"
"laying-12-Y" "laying" "12" "Y" -0.0175203917146667 0.54764802 -0.30240812 -0.56837515 -0.021001314 -0.949072009333333 -0.66044346 -0.86589818 -0.83928552 -0.83989705 -0.951265971 -0.85707273 -0.81479488 -0.9506400405 -0.88810072 -0.85759326
"laying-12-Z" "laying" "12" "Z" -0.108160125666667 0.7526245 -0.26881258 0.74382721 0.0015029871 -0.9483338435 -0.25281728 -0.86070383 -0.8462809 -0.88534315 -0.954724801666667 -0.84202105 -0.82882654 -0.948380833666667 -0.87833175 -0.8664102
"laying-13-X" "laying" "13" "X" 0.276716360483871 -0.10777909 0.1661736 0.15207851 -0.07458675 -0.968891989354839 -0.74488709 -0.97107119 -0.96726052 -0.96327524 -0.974716920483871 -0.9681569 -0.95187214 -0.966960088387097 -0.9776356 -0.97237378
"laying-13-Y" "laying" "13" "Y" -0.020440454366129 0.4433874 0.17118173 -0.36277902 -0.016441774 -0.950947949516129 -0.66876139 -0.96711373 -0.96016812 -0.9582012 -0.965843757258064 -0.96559126 -0.95079837 -0.947462328225806 -0.97157982 -0.9674716
"laying-13-Z" "laying" "13" "Z" -0.104331864532258 0.86401395 -0.20471847 0.64919335 -0.18201354 -0.950392995483871 -0.65751329 -0.9674843 -0.79588525 -0.98477074 -0.966295582741935 -0.96157526 -0.80861739 -0.945852135806452 -0.97226341 -0.81030946
"laying-14-X" "laying" "14" "X" 0.233275439803922 -0.051848683 0.33334579 0.22366181 -0.17616298 -0.917501887333333 0.15153884 -0.93259355 -0.88143293 -0.93110131 -0.933936178235294 -0.93577955 -0.85647137 -0.911972655156863 -0.93509479 -0.88933901
"laying-14-Y" "laying" "14" "Y" -0.0113424652490196 0.5117911 -0.15379943 -0.4653014 -0.070115283 -0.909697040980392 -0.67052507 -0.90665189 -0.90431549 -0.94498261 -0.930366906078431 -0.91864812 -0.90866817 -0.905221049156863 -0.8996206 -0.90228611
"laying-14-Z" "laying" "14" "Z" -0.0868333315509804 0.78295994 -0.23313277 0.5363351 -0.10218983 -0.900331921686275 -0.52480127 -0.94326738 -0.910629 -0.94773024 -0.927882307058824 -0.93482597 -0.90992668 -0.894055710980392 -0.95050666 -0.91884562
"laying-15-X" "laying" "15" "X" 0.2894756525 -0.32052877 0.22154266 0.095879456 -0.11694297 -0.972255551527778 -0.6163845 -0.91107951 -0.66850336 -0.7630281 -0.974016176527778 -0.91169387 -0.63806588 -0.971718824583333 -0.91848415 -0.67987859
"laying-15-Y" "laying" "15" "Y" -0.0166296542054167 0.86325579 0.040865492 -0.23481903 -0.036190951 -0.962759422361111 -0.94852646 -0.77352368 -0.77741508 -0.92380063 -0.962461124305556 -0.76752022 -0.83421751 -0.964590430138889 -0.7980823 -0.74998828
"laying-15-Z" "laying" "15" "Z" -0.118530240291667 0.47503213 -0.062006104 0.76652255 -0.14540555 -0.929586835277778 -0.77372939 -0.88759745 -0.77714389 -0.85897135 -0.95156594625 -0.87772866 -0.75530432 -0.923923991944444 -0.89570527 -0.80505757
"laying-16-X" "laying" "16" "X" 0.274227162571429 -0.10158012 0.051132164 -0.1130773 -0.10343971 -0.973691429428571 -0.85958726 -0.98571432 -0.96409964 -0.97948849 -0.980213187428571 -0.98528916 -0.96454342 -0.971409075142857 -0.98753789 -0.96427485
"laying-16-Y" "laying" "16" "Y" -0.0166103510562857 0.42769877 -0.12973321 -0.55579087 0.025532141 -0.943061150285714 -0.74290886 -0.96917182 -0.89290593 -0.99031522 -0.963635575142857 -0.96824217 -0.91241089 -0.937083636714286 -0.97264575 -0.88300715
"laying-16-Z" "laying" "16" "Z" -0.107310493242857 0.87830409 0.11950858 0.40549007 -0.084242896 -0.965490276285714 -0.73832543 -0.97871444 -0.91645194 -0.99006959 -0.974580069142857 -0.97350636 -0.94027705 -0.962524372714286 -0.98302872 -0.91723102
"laying-17-X" "laying" "17" "X" 0.269780085577465 -0.18148495 0.025393845 -0.01441438 -0.18530208 -0.972960567323944 -0.80656529 -0.91738534 -0.84187152 -0.89366646 -0.974359280140845 -0.91573682 -0.80498995 -0.972438525352113 -0.92696398 -0.85353748
"laying-17-Y" "laying" "17" "Y" -0.0168462006729577 0.54885085 -0.0528042 -0.26349833 0.089131974 -0.944792875211268 -0.91625341 -0.87938606 -0.8278105 -0.91412798 -0.954648102253521 -0.87761435 -0.82350196 -0.942791615915493 -0.8905018 -0.83164025
"laying-17-Z" "laying" "17" "Z" -0.107006279704225 0.82098273 0.090632564 0.46263651 -0.10280745 -0.953476700140845 -0.84332108 -0.91435488 -0.85547813 -0.93897783 -0.965406091549296 -0.90638084 -0.8665275 -0.950116956478873 -0.92062926 -0.86501467
"laying-18-X" "laying" "18" "X" 0.274691576923077 -0.25280964 0.060798313 -0.028591318 -0.092927991 -0.984527649230769 -0.92825585 -0.98751375 -0.99272775 -0.99423694 -0.985179972153846 -0.98692686 -0.99131751 -0.984321858307692 -0.98939296 -0.99310335
"laying-18-Y" "laying" "18" "Y" -0.0173937684615385 0.91757013 0.015830499 -0.045648614 -0.03897329 -0.986160920923077 -0.99169871 -0.98582171 -0.99308173 -0.99449035 -0.984909884615385 -0.98567414 -0.99289994 -0.986746450769231 -0.98703282 -0.99316281
"laying-18-Z" "laying" "18" "Z" -0.107698927907692 0.37419318 0.032473068 0.24842156 -0.11612553 -0.987658662307692 -0.95589207 -0.99051022 -0.90485706 -0.99560058 -0.988606906307692 -0.98802157 -0.91175966 -0.987224804307692 -0.99173551 -0.91115396
"laying-19-X" "laying" "19" "X" 0.272653733493976 -0.46888904 0.079433561 -0.29386085 0.028106583 -0.965019579518072 -0.98713743 -0.98543582 -0.84361171 -0.95609837 -0.97453373 -0.98450589 -0.81150005 -0.962085001204819 -0.98796335 -0.85381257
"laying-19-Y" "laying" "19" "Y" -0.0171426864421687 0.82298367 0.071786631 -0.49626264 -0.0029393329 -0.973449968554217 -0.86558464 -0.9366193 -0.92976979 -0.99202912 -0.972798824096386 -0.93115102 -0.95222666 -0.974832075662651 -0.94905879 -0.91913327
"laying-19-Z" "laying" "19" "Z" -0.10898146186747 0.58566905 -0.038101071 0.17782645 -0.038640041 -0.984672837228916 -0.88772834 -0.97841387 -0.97483255 -0.98152106 -0.985340447349398 -0.97279238 -0.97089345 -0.984740998192771 -0.98325016 -0.97849439
"laying-2-X" "laying" "2" "X" 0.281373403958333 -0.69553313 0.14824513 -0.0023142606 -0.1061418 -0.974059464791667 -0.79814709 -0.91683397 -0.95270527 -0.96026856 -0.976725059791667 -0.92166437 -0.9432567 -0.973246482083333 -0.91897449 -0.95565802
"laying-2-Y" "laying" "2" "Y" -0.0181587397583333 0.72141371 0.018076146 -0.38134958 -0.024243291 -0.98027739875 -0.99054068 -0.94576047 -0.9294601 -0.93939114 -0.979800877916667 -0.94530182 -0.92403925 -0.981025105625 -0.95029433 -0.93346553
"laying-2-Z" "laying" "2" "Z" -0.107245610416667 0.67577988 -0.0099643768 0.28917439 -0.073149089 -0.984233296875 -0.9808685 -0.96825575 -0.8861205 -0.90528924 -0.984380981875 -0.96271005 -0.86836961 -0.984792185 -0.9726107 -0.90292608
"laying-20-X" "laying" "20" "X" 0.239507882205882 -0.45881749 0.57988206 -0.026069213 -0.12405281 -0.962249114705882 0.54174973 -0.93256009 -0.9505395 -0.95970222 -0.965728781617647 -0.93321033 -0.93739546 -0.960997907205882 -0.93794277 -0.95464299
"laying-20-Y" "laying" "20" "Y" -0.0144406281132353 0.76221235 -0.16572639 -0.35628791 0.046929228 -0.964098180294118 -0.69455084 -0.87593077 -0.88774383 -0.9588346 -0.965595958382353 -0.86738035 -0.88580482 -0.964960988382353 -0.89701235 -0.88964515
"laying-20-Z" "laying" "20" "Z" -0.104274322538235 0.60523365 -0.10553152 0.63001183 -0.12029038 -0.972571998382353 -0.78533795 -0.95207118 -0.89066134 -0.94335823 -0.976392651323529 -0.94418761 -0.88639014 -0.971901324705882 -0.95883776 -0.90192692
"laying-21-X" "laying" "21" "X" 0.271325472455556 -0.012939799 0.20417404 -0.072713929 0.024382138 -0.955019866222222 -0.51945788 -0.93095091 -0.83962467 -0.9047031 -0.968234375555556 -0.92180622 -0.78425776 -0.950929451222222 -0.95013883 -0.85730231
"laying-21-Y" "laying" "21" "Y" -0.0184233048415556 0.64839622 -0.073590452 -0.52054243 -0.035144383 -0.956959422222222 -0.84527626 -0.7910971 -0.86418855 -0.90971068 -0.960069247 -0.79501775 -0.86806436 -0.957258971111111 -0.80131031 -0.86270783
"laying-21-Z" "laying" "21" "Z" -0.103253832233333 0.66369649 -0.43124371 0.31658648 -0.11259885 -0.945653787777778 -0.11689542 -0.90745459 -0.89165643 -0.92956794 -0.961772190555556 -0.89526051 -0.87846006 -0.940919006555556 -0.91838541 -0.90615804
"laying-22-X" "laying" "22" "X" 0.279959721194444 -0.51237774 -0.074781243 -0.089328221 -0.090477546 -0.947735251944444 -0.3835873 -0.97824417 -0.97895936 -0.98652139 -0.953758542777778 -0.97541747 -0.97616414 -0.945656808055556 -0.98417296 -0.97980799
"laying-22-Y" "laying" "22" "Y" -0.0142629864502778 0.62025569 -0.04942599 -0.4605308 0.024515926 -0.913276301666667 -0.87146755 -0.9774763 -0.87268572 -0.98953315 -0.925524703472222 -0.97596051 -0.91080252 -0.912562856666667 -0.98123337 -0.85463332
"laying-22-Z" "laying" "22" "Z" -0.110800924652778 0.81977419 0.10080122 0.63353974 -0.18211877 -0.942945807916667 -0.6778814 -0.98268304 -0.80091736 -0.98374987 -0.954219235555556 -0.97904149 -0.80706161 -0.941163951388889 -0.98510336 -0.81693301
"laying-23-X" "laying" "23" "X" 0.274038007986111 -0.36352484 0.25195822 0.050617754 -0.089269603 -0.956756363194444 -0.48201555 -0.96444674 -0.97499358 -0.96686145 -0.970037238333333 -0.96646822 -0.96728937 -0.952410957638889 -0.96534089 -0.97738844
"laying-23-Y" "laying" "23" "Y" -0.0216553835833333 0.46314262 0.023746443 -0.48671887 0.010009307 -0.976309827361111 -0.85574827 -0.97399618 -0.91871017 -0.95045658 -0.982072295833333 -0.9708214 -0.91529979 -0.974304149166667 -0.98065791 -0.92137164
"laying-23-Z" "laying" "23" "Z" -0.104256776291667 0.90036652 -0.10785261 0.43428776 -0.10871 -0.973223495416667 -0.68036142 -0.95508236 -0.8942638 -0.97496581 -0.977515213888889 -0.94452346 -0.90500244 -0.972261283055556 -0.96550304 -0.9003813
"laying-24-X" "laying" "24" "X" 0.272850494930556 -0.38707712 0.10033677 0.088992601 -0.12535758 -0.967984021111111 -0.90700277 -0.9719378 -0.93099346 -0.95280151 -0.975893687083333 -0.96978941 -0.92314177 -0.965167081805556 -0.97730026 -0.9336618
"laying-24-Y" "laying" "24" "Y" -0.0173555210111111 0.74142886 0.049812812 -0.27544228 -0.039251157 -0.983126461944444 -0.93638956 -0.95670482 -0.93549415 -0.95538936 -0.980830362083333 -0.95505629 -0.93586699 -0.984571808472222 -0.96209627 -0.93562512
"laying-24-Z" "laying" "24" "Z" -0.107236237236111 0.68844715 -0.024193286 0.39185177 -0.14870831 -0.973566958888889 -0.95326905 -0.96046237 -0.88114574 -0.97945454 -0.976634815694444 -0.95768907 -0.87083866 -0.973057781805556 -0.96152804 -0.89545608
"laying-25-X" "laying" "25" "X" 0.250791828613699 -0.60124091 0.017754652 -0.31823874 -0.13626482 -0.909116474109589 -0.4146724 -0.9434118 -0.67229736 -0.90166267 -0.929147371232877 -0.94398295 -0.78273225 -0.902547712465753 -0.94788425 -0.65544975
"laying-25-Y" "laying" "25" "Y" -0.0188943663671233 0.73606392 -0.48738423 0.036378769 -0.054405409 -0.691770680561644 -0.42478368 -0.86791205 -0.9017966 -0.96952613 -0.78494581909589 -0.88697258 -0.93451413 -0.67238425569863 -0.85604196 -0.88657053
"laying-25-Z" "laying" "25" "Z" -0.100428830260274 0.66097606 0.086881909 -0.12589838 -0.10094628 -0.717262004013699 -0.57688247 -0.93521673 -0.54787452 -0.9290948 -0.816197953561644 -0.92474449 -0.78860441 -0.694100368012329 -0.94472028 -0.53429111
"laying-26-X" "laying" "26" "X" 0.271645864540789 -0.54703418 0.34735619 0.0060451098 -0.10073515 -0.969445445263158 -0.2082844 -0.94351586 -0.94174148 -0.94321349 -0.973262289210526 -0.9409858 -0.93036987 -0.967971891447368 -0.95186655 -0.94532161
"laying-26-Y" "laying" "26" "Y" -0.0191895728026316 0.77844265 0.1226934 -0.092306849 -0.043397704 -0.983231351842105 -0.85148569 -0.91187177 -0.9285932 -0.95414826 -0.983664034342105 -0.91650524 -0.93594696 -0.983317083947368 -0.91251129 -0.92476319
"laying-26-Z" "laying" "26" "Z" -0.105002540289474 0.65553374 -0.18416512 0.94395455 -0.20090116 -0.984500013157895 -0.74925634 -0.93321567 -0.7859312 -0.9494526 -0.984923123552632 -0.92676189 -0.78221136 -0.984854487894737 -0.93802164 -0.80655372
"laying-27-X" "laying" "27" "X" 0.274102492432432 -0.52369624 0.050778324 -0.045250885 -0.090597376 -0.978455153108108 -0.91811335 -0.96228307 -0.97434775 -0.98287065 -0.980631846891892 -0.95841688 -0.9732235 -0.977615702567568 -0.97094779 -0.9747883
"laying-27-Y" "laying" "27" "Y" -0.0179867611216216 0.57366296 0.05184914 -0.29158454 -0.025497807 -0.983736043783784 -0.95885692 -0.958585 -0.93816648 -0.97885192 -0.982915951891892 -0.95515427 -0.95476095 -0.984269087972973 -0.96653733 -0.93002317
"laying-27-Z" "laying" "27" "Z" -0.107699732837838 0.8337269 -0.002139112 0.45928942 -0.1381998 -0.986636996081081 -0.92574844 -0.98326261 -0.8363528 -0.98434267 -0.987356589864865 -0.97884583 -0.85720607 -0.986582387972973 -0.98673266 -0.84476241
"laying-28-X" "laying" "28" "X" 0.2759134825 -0.68460146 0.065044847 0.19438252 -0.15069886 -0.9688882955 -0.94038085 -0.99004249 -0.83032089 -0.91224639 -0.9739308675 -0.98898776 -0.83668026 -0.967324863875 -0.99237463 -0.8307855
"laying-28-Y" "laying" "28" "Y" -0.0167537858225 -0.41411643 -0.1138204 -0.10828747 -0.031297042 -0.945386780375 -0.85736607 -0.97175177 -0.96313539 -0.98333387 -0.958436369 -0.97606536 -0.96711422 -0.94200397775 -0.96870251 -0.96098671
"laying-28-Z" "laying" "28" "Z" -0.1083448529625 -0.93448468 0.018809381 -0.33881782 0.035881489 -0.956450342875 -0.91509542 -0.96984986 -0.84769473 -0.97767738 -0.961115672375 -0.96601523 -0.85948624 -0.956770904875 -0.97218778 -0.85770386
"laying-29-X" "laying" "29" "X" 0.287295196811594 -0.48141191 0.086426755 -0.021776092 -0.13066117 -0.984219555507246 -0.77382705 -0.98533048 -0.96494643 -0.97745407 -0.986626999275362 -0.98520904 -0.94821407 -0.983432309130435 -0.98679405 -0.97052174
"laying-29-Y" "laying" "29" "Y" -0.0171965484202899 0.76425021 0.015575931 -0.34316209 0.011315022 -0.990240946666667 -0.96855318 -0.96821936 -0.92313583 -0.98822759 -0.989034304057971 -0.96500122 -0.93477422 -0.990680395362319 -0.97525078 -0.91710659
"laying-29-Z" "laying" "29" "Z" -0.109462068173913 0.66975202 0.015186148 0.59487413 -0.15686316 -0.987255149855072 -0.92794526 -0.98716111 -0.84997274 -0.98790286 -0.989473926666667 -0.9841496 -0.85436667 -0.986378776086957 -0.98893087 -0.86205945
"laying-3-X" "laying" "3" "X" 0.275516852741935 -0.31618977 0.13068641 -0.02138801 -0.16121314 -0.982776639193548 -0.90846103 -0.92375993 -0.87726226 -0.91475269 -0.980665609032258 -0.91970446 -0.84870605 -0.983691129032258 -0.93589829 -0.88627913
"laying-3-Y" "laying" "3" "Y" -0.0189556785048387 0.77207768 0.16719362 -0.18998582 0.02551415 -0.962057544516129 -0.79581568 -0.86561434 -0.9100652 -0.96359032 -0.961169982903226 -0.8506637 -0.91003654 -0.964094604193548 -0.89772066 -0.91060688
"laying-3-Z" "laying" "3" "Z" -0.101300477506452 0.6131905 -0.13814519 0.72394893 -0.14469071 -0.96369103483871 -0.80833615 -0.92729949 -0.80852592 -0.92137768 -0.968332141612903 -0.91615212 -0.8083903 -0.96327908016129 -0.93742287 -0.82590151
"laying-30-X" "laying" "30" "X" 0.281033900571429 -0.35004035 0.055893785 0.13329749 -0.21387748 -0.976362515428571 -0.89427435 -0.96862857 -0.82539292 -0.98256296 -0.974789999285714 -0.96988608 -0.80437803 -0.977045260571429 -0.96999218 -0.83262182
"laying-30-Y" "laying" "30" "Y" -0.0194494098614286 0.63866469 0.093260515 -0.30569792 0.022430648 -0.954201823857143 -0.93956516 -0.94756495 -0.89407056 -0.97506503 -0.959974274571429 -0.94944854 -0.90959827 -0.9535584 -0.9489562 -0.8860885
"laying-30-Z" "laying" "30" "Z" -0.1036581505 0.7756169 -0.021240975 0.37059169 -0.11292728 -0.967044236428571 -0.93347976 -0.99144405 -0.88635171 -0.98165434 -0.970321991714286 -0.98883459 -0.89796256 -0.967188198571429 -0.99287088 -0.89292533
"laying-4-X" "laying" "4" "X" 0.263559214981481 -0.34301016 0.3307512 0.15116583 -0.13405412 -0.954193738888889 -0.20474849 -0.89068553 -0.8697844 -0.83606282 -0.958802077592593 -0.88684091 -0.81907818 -0.952464881481481 -0.90548764 -0.88619242
"laying-4-Y" "laying" "4" "Y" -0.0150031841055556 0.86246024 -0.04269944 -0.22362178 -0.030192121 -0.941714042407407 -0.73272616 -0.70352768 -0.92614353 -0.95474748 -0.938883374444444 -0.71907171 -0.92859044 -0.946380971111111 -0.70606886 -0.92508479
"laying-4-Z" "laying" "4" "Z" -0.110688150314815 0.463362 -0.060121755 0.71543772 -0.11996395 -0.962667314814815 -0.91387976 -0.88589443 -0.82611812 -0.89864183 -0.967504278888889 -0.86427345 -0.83648129 -0.962154454259259 -0.90789325 -0.83853387
"laying-5-X" "laying" "5" "X" 0.278334325576923 -0.53043802 0.26779786 -0.015212033 -0.10545881 -0.965934509615385 -0.51950503 -0.91345405 -0.89728883 -0.92636264 -0.968741678461538 -0.90913137 -0.89002032 -0.964953893653846 -0.92679031 -0.90016541
"laying-5-Y" "laying" "5" "Y" -0.0183042123269231 0.96805908 -0.0097408083 -0.15031274 -0.016328744 -0.969295613269231 -0.9227795 -0.7744583 -0.93210101 -0.92343383 -0.965419520961538 -0.78106706 -0.91906439 -0.972909186730769 -0.78250113 -0.94202941
"laying-5-Z" "laying" "5" "Z" -0.107937603673077 0.24649152 0.010740572 0.6800058 -0.11773498 -0.968562516346154 -0.92610384 -0.94728613 -0.81422417 -0.93968928 -0.977007724615385 -0.93950893 -0.84755794 -0.965882191153846 -0.95382008 -0.82121979
"laying-6-X" "laying" "6" "X" 0.248656520140351 -0.40620166 0.10579008 0.1347368 -0.12832418 -0.934049422052632 -0.72664522 -0.89153544 -0.88589977 -0.85707453 -0.939114254210526 -0.89625422 -0.83966281 -0.932462941461404 -0.89607401 -0.90093572
"laying-6-Y" "laying" "6" "Y" -0.0102529170561404 0.94918555 0.023464575 -0.19829491 -0.050133988 -0.924644826385965 -0.93931609 -0.8389378 -0.79006052 -0.85997465 -0.923706791403509 -0.83913553 -0.79282671 -0.929711219929825 -0.85037001 -0.78977163
"laying-6-Z" "laying" "6" "Z" -0.133119570368421 0.31552116 -0.048888906 0.67542434 -0.1874055 -0.925216100350877 -0.84250211 -0.91492742 -0.69811283 -0.76801297 -0.938044912280702 -0.90402412 -0.64224357 -0.924004748421053 -0.92450502 -0.74641547
"laying-7-X" "laying" "7" "X" 0.250176694038462 -0.24550668 0.63841473 0.11819722 -0.3970337 -0.93651361 0.28601047 -0.82124609 -0.52733748 -0.7062294 -0.953424245576923 -0.82689 -0.399194 -0.931120580576923 -0.83113677 -0.56793049
"laying-7-Y" "laying" "7" "Y" -0.0204411516884615 0.15624602 0.014771592 -0.85197318 0.065863618 -0.926262668653846 -0.68605316 -0.75393967 -0.73716856 -0.77011049 -0.942193953846154 -0.74598139 -0.70931027 -0.922917902307692 -0.78248186 -0.75780563
"laying-7-Z" "laying" "7" "Z" -0.101361036576923 0.97358164 -0.30453375 0.48370198 0.098057034 -0.952978365961539 -0.70197183 -0.7373166 -0.70239005 -0.90347647 -0.958611644615385 -0.71661806 -0.69622587 -0.953380646346154 -0.75589035 -0.73147834
"laying-8-X" "laying" "8" "X" 0.261254282907407 -0.30032733 0.038065501 0.11772375 -0.099928995 -0.94304121537037 -0.86228801 -0.98786173 -0.97090053 -0.99172703 -0.953538563888889 -0.98632686 -0.98011987 -0.940125298333333 -0.99108202 -0.96923189
"laying-8-Y" "laying" "8" "Y" -0.0212281733881481 0.82990711 0.051407365 0.14668342 -0.069224199 -0.93489116 -0.91561235 -0.97874085 -0.95821095 -0.98913919 -0.951816663703704 -0.9758331 -0.96266611 -0.931236756962963 -0.98470212 -0.95582116
"laying-8-Z" "laying" "8" "Z" -0.102245365611111 0.53828987 -0.017327641 0.63026299 -0.17246406 -0.932491454407407 -0.87513986 -0.9895201 -0.80365408 -0.99137004 -0.944269514074074 -0.98657835 -0.82119611 -0.931146497518519 -0.99129805 -0.81593727
"laying-9-X" "laying" "9" "X" 0.2591955368 -0.43313049 0.56938525 0.054067631 -0.087791251 -0.94233309 0.54211655 -0.85811312 -0.85805552 -0.8857363 -0.946865494 -0.85769301 -0.84538422 -0.9409810272 -0.87162109 -0.86275807
"laying-9-Y" "laying" "9" "Y" -0.020526821662 0.21426564 -0.11552087 -0.78365493 -0.073031208 -0.9162927764 -0.92177585 -0.84150577 -0.77886323 -0.86380739 -0.9343665984 -0.84768564 -0.79188439 -0.9128367508 -0.84531258 -0.77263702
"laying-9-Z" "laying" "9" "Z" -0.10754972144 0.96203022 -0.23662956 0.4063365 -0.065517267 -0.9407072854 -0.50508339 -0.86676027 -0.92289811 -0.92935508 -0.9459190006 -0.85945168 -0.90737267 -0.9419711636 -0.87209917 -0.93573372
"sitting-1-X" "sitting" "1" "X" 0.261237565425532 0.87409866 0.13805762 -0.046489666 -0.11571413 -0.977229008297872 -0.81418938 -0.98122357 -0.9733557 -0.98520162 -0.979641238723404 -0.98209043 -0.967536 -0.976412313191489 -0.98187701 -0.97513158
"sitting-1-Y" "sitting" "1" "Y" -0.00130828765170213 0.042479149 -0.34777099 -0.28289794 -0.066663019 -0.922618641914894 -0.25461649 -0.96614228 -0.97220339 -0.98666522 -0.944084550425532 -0.96914184 -0.9690438 -0.917275006382979 -0.96489086 -0.97447678
"sitting-1-Z" "sitting" "1" "Z" -0.104544182255319 0.33309449 -0.33527233 0.22948437 0.01633599 -0.93958629106383 -0.34244329 -0.98349118 -0.9171989 -0.98196657 -0.959184889148936 -0.9815657 -0.89992251 -0.934469558085106 -0.98385314 -0.93123209
"sitting-10-X" "sitting" "10" "X" 0.270612056481481 0.68754218 0.16491639 -0.063828157 -0.086921841 -0.982901825925926 -0.7048203 -0.98787704 -0.98999544 -0.99135791 -0.984943144259259 -0.98532699 -0.98481192 -0.982242427777778 -0.99279992 -0.9917474
"sitting-10-Y" "sitting" "10" "Y" -0.015042681852037 0.48141282 -0.48611386 -0.18724573 -0.036724636 -0.917979529962963 -0.15764554 -0.94533823 -0.97843599 -0.9867522 -0.9404502 -0.95570827 -0.97945903 -0.912838063018519 -0.93778992 -0.97786208
"sitting-10-Z" "sitting" "10" "Z" -0.104253238796296 0.24230592 -0.10766817 0.571415 -0.083649233 -0.967826981666667 -0.82643282 -0.99035919 -0.94341795 -0.98613138 -0.97464465462963 -0.98631729 -0.95580262 -0.966121042592593 -0.99376471 -0.94472447
"sitting-11-X" "sitting" "11" "X" 0.276590197358491 0.8350533 0.094164858 -0.082643726 -0.088758194 -0.982796562075472 -0.92458148 -0.98954833 -0.9890428 -0.99417722 -0.981481454339623 -0.98838154 -0.98557443 -0.983389810188679 -0.99209004 -0.99009427
